iter,word,sim_max,tf,df,score,parents
1,模型,0.9252,216,43,18.8352,多模态
1,OpenClaw,0.939,94,20,13.0188,开源项目
1,Claude,0.9131,102,17,12.2324,Anthropic
1,Code,0.941,55,15,10.5027,Anthropic
1,流程,0.9516,37,18,10.1928,重构
1,Token,0.8205,83,13,9.5937,大模型
1,Windows,0.949,33,12,8.5832,微软
1,Plus,0.9697,31,10,8.0591,大语言模型
1,一套,0.9479,19,16,8.0457,重构
1,阿里,0.9568,27,10,7.645,大语言模型
1,门槛,0.9405,19,14,7.63,重构
1,API,0.9379,29,9,7.3449,开源项目|OpenAI
1,搜索,0.9741,16,13,7.2831,浏览器
1,商业,0.9428,21,11,7.2417,重构
1,社区,0.9579,18,12,7.2342,阿里云
1,第三方,0.9392,19,11,6.9913,开源项目
1,统一,0.9304,17,12,6.8975,多模态
1,千问,0.9695,29,7,6.8566,大语言模型|多模态
1,接入,0.9523,15,12,6.7723,开源项目
1,积累,0.9466,16,11,6.6644,重构
1,订阅,0.9508,23,8,6.6391,OpenAI|Anthropic
1,新一代,0.9803,14,11,6.5967,大语言模型
1,GPU,0.9072,23,8,6.3348,英伟达
1,面向,0.9409,14,11,6.3316,阿里云
1,消耗,0.9263,16,10,6.2932,大模型|豆包
1,闭环,0.9395,17,9,6.2525,重构
1,系统性,0.9705,13,10,6.1418,重构
1,终端,0.9333,13,11,6.1204,阿里云
1,知名,0.9302,13,10,5.8868,大模型|豆包
1,字节,0.9557,15,8,5.8222,大模型|豆包
1,修改,0.9319,14,9,5.811,多模态
1,评测,0.9689,14,8,5.7652,大语言模型|多模态
1,远程,0.9737,12,9,5.7509,浏览器
1,文本,0.9218,11,9,5.2742,多模态
1,透露,0.9591,13,7,5.2633,甲骨文
1,万亿,0.9625,24,4,4.9861,大模型|豆包
1,业界,0.9244,10,8,4.8706,阿里云
1,论文,0.9715,10,7,4.8441,微调
1,Arena,0.9755,11,6,4.7171,大语言模型
1,中文,0.9208,9,8,4.6585,微软
2,编程,0.9284,64,19,11.6101,千问
2,迭代,0.9436,36,23,10.8284,闭环
2,参数,0.9014,47,20,10.6238,模型
2,逻辑,0.8886,39,21,10.1326,流程
2,下载,0.9231,46,16,10.0692,微软|Windows
2,原生,0.955,27,20,9.6889,文本
2,Mac,0.9178,39,15,9.387,Windows
2,路径,0.9538,27,17,9.1864,闭环
2,大幅,0.9074,28,19,9.1533,英伟达|GPU
2,安装,0.9114,29,18,9.1273,Windows
2,推理,0.9082,39,14,9.0727,模型
2,决策,0.8924,38,15,9.0643,流程
2,支撑,0.9577,23,18,8.9619,重构|一套|系统性
2,算法,0.9454,27,13,8.3133,闭环
2,镜像,0.902,44,10,8.2334,微软
2,Linux,0.9693,21,14,8.1138,浏览器|搜索|远程
2,规划,0.9313,22,14,7.9074,商业
2,维度,0.9467,20,14,7.8057,重构|流程|一套|闭环
2,自动化,0.9342,21,13,7.6209,流程
2,限制,0.9101,18,16,7.5918,GPU
2,规模化,0.934,24,11,7.4708,闭环
2,插件,0.9608,18,13,7.4662,OpenClaw|接入
2,GitHub,0.9222,27,10,7.3685,订阅
2,组织,0.9428,26,9,7.1546,重构
2,上下文,0.9608,20,10,7.0146,文本
3,优化,0.8961,46,28,11.6182,流程
3,架构,0.912,45,24,11.2393,GPU
3,操作,0.8599,45,19,9.8629,决策
3,精准,0.8917,31,19,9.2577,逻辑|决策
3,决定,0.8682,29,21,9.1281,决策
3,自主,0.941,24,18,8.9186,自动化
3,判断,0.9107,30,15,8.6708,逻辑|决策
3,训练,0.9259,37,12,8.6388,参数|推理
3,大规模,0.9534,23,15,8.4013,大幅|支撑
3,链路,0.9461,23,14,8.1427,流程|一套|规模化
3,输入,0.9443,23,13,7.92,上下文
3,一年,0.9174,20,16,7.913,大幅
3,跨平台,0.9553,20,13,7.6757,远程|下载|Linux
3,驱动,0.878,24,14,7.6534,逻辑
3,才能,0.8606,23,14,7.4064,决策
