# 科技领域种子词典 v0
# 作者：林奕宏（3123004449）软件工程 2 班
# 格式：词 [词频] [词性]    ——jieba `load_userdict` 兼容；省略字段时取默认值
# 分类说明（仅供阅读，不参与加载）：
# [AI/ML] 人工智能、机器学习、大模型
# [SE] 软件工程、编程语言、框架
# [OS/SYS] 操作系统、内核、虚拟化
# [HW] 硬件、芯片、显卡
# [SEC] 网络安全、加密、隐私
# [WEB] 前端、浏览器、Web 标准
# [DB/INFRA] 数据库、云、分布式
# [PRODUCT] 国内外科技公司与产品

# ===== [AI/ML] =====
大语言模型 1000 n
大模型 1000 n
生成式人工智能 800 n
预训练 600 n
微调 600 vn
强化学习 600 n
深度学习 800 n
机器学习 800 n
神经网络 600 n
卷积神经网络 400 n
循环神经网络 400 n
注意力机制 500 n
自注意力 400 n
多模态 500 n
向量数据库 400 n
词向量 400 n
词嵌入 400 n
扩散模型 500 n
检索增强生成 500 n
思维链 400 n
小模型 400 n
推理模型 500 n
开源模型 500 n
对齐 300 vn

# ===== [SE] =====
开源软件 500 n
开源项目 500 n
开源协议 400 n
类型推断 300 n
垃圾回收 300 vn
异步编程 300 vn
内存安全 400 n
单元测试 300 vn
持续集成 300 n
代码评审 300 n
代码补全 400 n
版本控制 300 n
依赖管理 300 n
重构 300 vn

# ===== [OS/SYS] =====
操作系统 600 n
内核 500 n
虚拟化 400 n
容器化 400 vn
微服务 500 n
分布式系统 500 n
高可用 400 n
负载均衡 300 vn
进程调度 300 n
内存管理 300 n
文件系统 400 n

# ===== [HW] =====
显卡 500 n
显存 400 n
处理器 500 n
内存条 200 n
固态硬盘 300 n
机械硬盘 200 n
图形处理器 400 n
张量处理单元 300 n
神经网络处理器 300 n
异构计算 300 n
集成电路 300 n

# ===== [SEC] =====
网络安全 600 n
零日漏洞 400 n
勒索软件 400 n
钓鱼攻击 300 vn
端到端加密 400 n
零信任 400 n
数据泄露 500 vn
身份认证 300 vn

# ===== [WEB] =====
浏览器 500 n
搜索引擎 500 n
广告屏蔽 300 vn
网页扩展 300 n
前端框架 400 n
渐进式增强 200 n
跨域请求 200 n

# ===== [DB/INFRA] =====
关系型数据库 400 n
非关系型数据库 400 n
对象存储 300 n
数据湖 300 n
数据仓库 400 n
流式处理 300 n
消息队列 300 n
边缘计算 400 n
云原生 400 n

# ===== [PRODUCT] =====
开源中国 200 nz
机器之心 200 nz
雷锋网 200 nz
少数派 200 nz
异次元软件 200 nz
阮一峰 200 nr
OpenAI 200 nz
Anthropic 200 nz
谷歌 200 nz
微软 200 nz
苹果公司 200 nz
英伟达 200 nz
亚马逊云科技 200 nz
甲骨文 200 nz
通义千问 200 nz
文心一言 200 nz
混元大模型 200 nz
豆包 200 nz
深度求索 200 nz
智谱清言 200 nz
鸿蒙系统 200 nz
华为云 200 nz
阿里云 200 nz
腾讯云 200 nz
