topic,label,rank,term,weight
0,大模型与智驾,1,模型,0.02208
0,大模型与智驾,2,正式,0.01019
0,大模型与智驾,3,支持,0.01018
0,大模型与智驾,4,能力,0.00854
0,大模型与智驾,5,Gemma,0.00811
0,大模型与智驾,6,智驾,0.00777
0,大模型与智驾,7,汽车,0.00766
0,大模型与智驾,8,智能,0.00623
0,大模型与智驾,9,团队,0.00618
0,大模型与智驾,10,宣布,0.00602
1,企业AI落地,1,能力,0.01362
1,企业AI落地,2,企业,0.01333
1,企业AI落地,3,智能,0.01306
1,企业AI落地,4,场景,0.00837
1,企业AI落地,5,方案,0.00737
1,企业AI落地,6,传统,0.00735
1,企业AI落地,7,全球,0.00687
1,企业AI落地,8,团队,0.00677
1,企业AI落地,9,转型,0.0062
1,企业AI落地,10,机器人,0.00611
2,新能源汽车,1,配置,0.01059
2,新能源汽车,2,续航,0.00995
2,新能源汽车,3,车型,0.00991
2,新能源汽车,4,公里,0.00945
2,新能源汽车,5,全文,0.00926
2,新能源汽车,6,销量,0.00925
2,新能源汽车,7,新车,0.00915
2,新能源汽车,8,官方,0.00878
2,新能源汽车,9,一次,0.00865
2,新能源汽车,10,阅读,0.00834
3,耳机与数码,1,耳机,0.0177
3,耳机与数码,2,异次元,0.01176
3,耳机与数码,3,支持,0.0116
3,耳机与数码,4,有线,0.01156
3,耳机与数码,5,免费,0.01094
3,耳机与数码,6,微信,0.01014
3,耳机与数码,7,镜像,0.00986
3,耳机与数码,8,生态,0.0098
3,耳机与数码,9,下载,0.00918
3,耳机与数码,10,Max,0.00881
4,AI办公工具,1,Claude,0.01298
4,AI办公工具,2,会议,0.01269
4,AI办公工具,3,小龙虾,0.01223
4,AI办公工具,4,工具,0.0093
4,AI办公工具,5,影像,0.00912
4,AI办公工具,6,这种,0.00822
4,AI办公工具,7,录制,0.00804
4,AI办公工具,8,底层,0.00793
4,AI办公工具,9,大厂,0.00784
4,AI办公工具,10,文件,0.00624
5,游戏与传感器,1,游戏,0.03389
5,游戏与传感器,2,激光雷达,0.03369
5,游戏与传感器,3,玩家,0.018
5,游戏与传感器,4,团队,0.01716
5,游戏与传感器,5,摄像头,0.01155
5,游戏与传感器,6,赛道,0.0109
5,游戏与传感器,7,竞争,0.01027
5,游戏与传感器,8,很多,0.01015
5,游戏与传感器,9,选择,0.01007
5,游戏与传感器,10,方案,0.00934
6,智能体与安全,1,安全,0.02427
6,智能体与安全,2,自动,0.01332
6,智能体与安全,3,Claude,0.01267
6,智能体与安全,4,OpenClaw,0.01238
6,智能体与安全,5,Anthropic,0.01068
6,智能体与安全,6,Code,0.0105
6,智能体与安全,7,充电,0.00985
6,智能体与安全,8,车辆,0.00869
6,智能体与安全,9,工具,0.00816
6,智能体与安全,10,驾驶,0.00801
7,机器人与编程,1,全球,0.01959
7,机器人与编程,2,机器人,0.01676
7,机器人与编程,3,能力,0.01606
7,机器人与编程,4,编程,0.01392
7,机器人与编程,5,模型,0.01207
7,机器人与编程,6,合作,0.01123
7,机器人与编程,7,千问,0.01119
7,机器人与编程,8,大模型,0.01003
7,机器人与编程,9,场景,0.00972
7,机器人与编程,10,Plus,0.00962
8,AI芯片算力,1,芯片,0.01989
8,AI芯片算力,2,大模型,0.01748
8,AI芯片算力,3,英伟达,0.0117
8,AI芯片算力,4,成本,0.00982
8,AI芯片算力,5,Token,0.00923
8,AI芯片算力,6,模型,0.00916
8,AI芯片算力,7,算力,0.00821
8,AI芯片算力,8,这种,0.00609
8,AI芯片算力,9,智能,0.00591
8,AI芯片算力,10,各种,0.00558
9,苹果生态,1,苹果,0.01854
9,苹果生态,2,skill,0.01853
9,苹果生态,3,耳机,0.01337
9,苹果生态,4,App,0.01053
9,苹果生态,5,降噪,0.01007
9,苹果生态,6,时候,0.00862
9,苹果生态,7,代码,0.00831
9,苹果生态,8,工具,0.00777
9,苹果生态,9,Pro,0.00757
9,苹果生态,10,视频,0.00691
