week,topic,label,mass
2026-01-19,0,开源小模型,0.0006
2026-01-19,1,软件与外设,0.0009
2026-01-19,2,产业AI落地,0.0009
2026-01-19,3,AI编程助手,0.001
2026-01-19,4,生成式AI,0.9295
2026-01-19,5,AI芯片算力,0.0007
2026-01-19,6,自动驾驶,0.0008
2026-01-19,7,激光雷达,0.0009
2026-01-19,8,游戏与数码,0.0008
2026-01-19,9,苹果生态,0.0639
2026-01-26,0,开源小模型,0.0028
2026-01-26,1,软件与外设,0.9967
2026-01-26,2,产业AI落地,0.004
2026-01-26,3,AI编程助手,0.0042
2026-01-26,4,生成式AI,0.0035
2026-01-26,5,AI芯片算力,0.0032
2026-01-26,6,自动驾驶,0.0034
2026-01-26,7,激光雷达,0.0037
2026-01-26,8,游戏与数码,0.9752
2026-01-26,9,苹果生态,0.0033
2026-02-02,0,开源小模型,0.004
2026-02-02,1,软件与外设,0.2078
2026-02-02,2,产业AI落地,0.0058
2026-02-02,3,AI编程助手,0.006
2026-02-02,4,生成式AI,0.0331
2026-02-02,5,AI芯片算力,0.0047
2026-02-02,6,自动驾驶,1.491
2026-02-02,7,激光雷达,0.0054
2026-02-02,8,游戏与数码,0.0727
2026-02-02,9,苹果生态,1.1696
2026-02-09,0,开源小模型,0.0023
2026-02-09,1,软件与外设,0.0031
2026-02-09,2,产业AI落地,0.0033
2026-02-09,3,AI编程助手,0.0034
2026-02-09,4,生成式AI,0.0028
2026-02-09,5,AI芯片算力,0.0027
2026-02-09,6,自动驾驶,1.9792
2026-02-09,7,激光雷达,0.0031
2026-02-09,8,游戏与数码,0.6726
2026-02-09,9,苹果生态,0.3276
2026-02-23,0,开源小模型,0.0028
2026-02-23,1,软件与外设,0.2793
2026-02-23,2,产业AI落地,0.0041
2026-02-23,3,AI编程助手,0.7234
2026-02-23,4,生成式AI,0.0035
2026-02-23,5,AI芯片算力,0.0033
2026-02-23,6,自动驾驶,0.4096
2026-02-23,7,激光雷达,0.0038
2026-02-23,8,游戏与数码,0.3516
2026-02-23,9,苹果生态,1.2187
2026-03-02,0,开源小模型,0.0019
2026-03-02,1,软件与外设,0.0025
2026-03-02,2,产业AI落地,0.0027
2026-03-02,3,AI编程助手,0.4717
2026-03-02,4,生成式AI,0.0023
2026-03-02,5,AI芯片算力,0.55
2026-03-02,6,自动驾驶,0.0023
2026-03-02,7,激光雷达,0.0025
2026-03-02,8,游戏与数码,0.0025
2026-03-02,9,苹果生态,0.9617
2026-03-09,0,开源小模型,0.9836
2026-03-09,1,软件与外设,2.0787
2026-03-09,2,产业AI落地,0.0069
2026-03-09,3,AI编程助手,0.0072
2026-03-09,4,生成式AI,0.006
2026-03-09,5,AI芯片算力,0.0056
2026-03-09,6,自动驾驶,2.2466
2026-03-09,7,激光雷达,0.0064
2026-03-09,8,游戏与数码,0.0064
2026-03-09,9,苹果生态,0.6525
2026-03-16,0,开源小模型,0.0022
2026-03-16,1,软件与外设,0.2508
2026-03-16,2,产业AI落地,0.0031
2026-03-16,3,AI编程助手,0.7726
2026-03-16,4,生成式AI,0.0027
2026-03-16,5,AI芯片算力,0.3518
2026-03-16,6,自动驾驶,0.0027
2026-03-16,7,激光雷达,0.4055
2026-03-16,8,游戏与数码,0.0029
2026-03-16,9,苹果生态,0.2056
2026-03-23,0,开源小模型,0.2262
2026-03-23,1,软件与外设,1.0022
2026-03-23,2,产业AI落地,0.0084
2026-03-23,3,AI编程助手,0.0088
2026-03-23,4,生成式AI,0.9911
2026-03-23,5,AI芯片算力,2.7478
2026-03-23,6,自动驾驶,0.9989
2026-03-23,7,激光雷达,0.0078
2026-03-23,8,游戏与数码,0.0077
2026-03-23,9,苹果生态,1.0012
2026-03-30,0,开源小模型,11.8835
2026-03-30,1,软件与外设,11.3113
2026-03-30,2,产业AI落地,19.9905
2026-03-30,3,AI编程助手,16.5561
2026-03-30,4,生成式AI,14.5133
2026-03-30,5,AI芯片算力,8.6602
2026-03-30,6,自动驾驶,10.1975
2026-03-30,7,激光雷达,15.6226
2026-03-30,8,游戏与数码,11.5075
2026-03-30,9,苹果生态,10.7574
2026-04-06,0,开源小模型,1.0332
2026-04-06,1,软件与外设,3.0883
2026-04-06,2,产业AI落地,4.9698
2026-04-06,3,AI编程助手,5.1014
2026-04-06,4,生成式AI,2.5059
2026-04-06,5,AI芯片算力,2.0102
2026-04-06,6,自动驾驶,1.873
2026-04-06,7,激光雷达,1.5024
2026-04-06,8,游戏与数码,4.2351
2026-04-06,9,苹果生态,1.6807
