feed,topic,label,mean_theta
36氪,0,开源小模型,0.0112
36氪,1,软件与外设,0.1705
36氪,2,产业AI落地,0.1314
36氪,3,AI编程助手,0.1431
36氪,4,生成式AI,0.2239
36氪,5,AI芯片算力,0.0965
36氪,6,自动驾驶,0.0828
36氪,7,激光雷达,0.0859
36氪,8,游戏与数码,0.0314
36氪,9,苹果生态,0.0231
CNBeta,0,开源小模型,0.0904
CNBeta,1,软件与外设,0.0581
CNBeta,2,产业AI落地,0.1952
CNBeta,3,AI编程助手,0.1074
CNBeta,4,生成式AI,0.1248
CNBeta,5,AI芯片算力,0.0271
CNBeta,6,自动驾驶,0.0885
CNBeta,7,激光雷达,0.0978
CNBeta,8,游戏与数码,0.177
CNBeta,9,苹果生态,0.0335
Solidot,0,开源小模型,0.1021
Solidot,1,软件与外设,0.1567
Solidot,2,产业AI落地,0.1562
Solidot,3,AI编程助手,0.0518
Solidot,4,生成式AI,0.0804
Solidot,5,AI芯片算力,0.1474
Solidot,6,自动驾驶,0.1207
Solidot,7,激光雷达,0.0435
Solidot,8,游戏与数码,0.1395
Solidot,9,苹果生态,0.0017
少数派,0,开源小模型,0.0394
少数派,1,软件与外设,0.1068
少数派,2,产业AI落地,0.1437
少数派,3,AI编程助手,0.0371
少数派,4,生成式AI,0.0066
少数派,5,AI芯片算力,0.0062
少数派,6,自动驾驶,0.0066
少数派,7,激光雷达,0.1704
少数派,8,游戏与数码,0.1245
少数派,9,苹果生态,0.3587
开源中国,0,开源小模型,0.1232
开源中国,1,软件与外设,0.0923
开源中国,2,产业AI落地,0.0972
开源中国,3,AI编程助手,0.222
开源中国,4,生成式AI,0.1752
开源中国,5,AI芯片算力,0.0305
开源中国,6,自动驾驶,0.0861
开源中国,7,激光雷达,0.0411
开源中国,8,游戏与数码,0.0365
开源中国,9,苹果生态,0.0959
异次元软件世界,0,开源小模型,0.0409
异次元软件世界,1,软件与外设,0.1608
异次元软件世界,2,产业AI落地,0.0013
异次元软件世界,3,AI编程助手,0.0666
异次元软件世界,4,生成式AI,0.0658
异次元软件世界,5,AI芯片算力,0.1224
异次元软件世界,6,自动驾驶,0.2378
异次元软件世界,7,激光雷达,0.0147
异次元软件世界,8,游戏与数码,0.0698
异次元软件世界,9,苹果生态,0.2199
爱范儿,0,开源小模型,0.0534
爱范儿,1,软件与外设,0.1004
爱范儿,2,产业AI落地,0.1963
爱范儿,3,AI编程助手,0.0049
爱范儿,4,生成式AI,0.05
爱范儿,5,AI芯片算力,0.218
爱范儿,6,自动驾驶,0.0454
爱范儿,7,激光雷达,0.1219
爱范儿,8,游戏与数码,0.1096
爱范儿,9,苹果生态,0.1
阮一峰的网络日志,0,开源小模型,0.0001
阮一峰的网络日志,1,软件与外设,0.0923
阮一峰的网络日志,2,产业AI落地,0.0001
阮一峰的网络日志,3,AI编程助手,0.5932
阮一峰的网络日志,4,生成式AI,0.0261
阮一峰的网络日志,5,AI芯片算力,0.1643
阮一峰的网络日志,6,自动驾驶,0.0001
阮一峰的网络日志,7,激光雷达,0.0636
阮一峰的网络日志,8,游戏与数码,0.0145
阮一峰的网络日志,9,苹果生态,0.0457
雷锋网,0,开源小模型,0.0001
雷锋网,1,软件与外设,0.0868
雷锋网,2,产业AI落地,0.1814
雷锋网,3,AI编程助手,0.2715
雷锋网,4,生成式AI,0.0501
雷锋网,5,AI芯片算力,0.0501
雷锋网,6,自动驾驶,0.0533
雷锋网,7,激光雷达,0.2973
雷锋网,8,游戏与数码,0.0092
雷锋网,9,苹果生态,0.0002
