topic,label,rank,term,weight
0,开源小模型,1,Gemma,0.03355
0,开源小模型,2,模型,0.0322
0,开源小模型,3,Google,0.0199
0,开源小模型,4,参数,0.01847
0,开源小模型,5,本地,0.01725
0,开源小模型,6,推理,0.01579
0,开源小模型,7,开源,0.01285
0,开源小模型,8,31B,0.00997
0,开源小模型,9,开放,0.00978
0,开源小模型,10,Agent,0.00917
0,开源小模型,11,激活,0.00915
0,开源小模型,12,26B,0.00815
1,软件与外设,1,耳机,0.02543
1,软件与外设,2,镜像,0.01764
1,软件与外设,3,降噪,0.01723
1,软件与外设,4,OpenClaw,0.01666
1,软件与外设,5,下载,0.01103
1,软件与外设,6,Pro,0.01012
1,软件与外设,7,Windows,0.00933
1,软件与外设,8,模型,0.00896
1,软件与外设,9,生态,0.00889
1,软件与外设,10,开发者,0.00847
1,软件与外设,11,代码,0.00816
1,软件与外设,12,微软,0.0076
2,产业AI落地,1,企业,0.01044
2,产业AI落地,2,模型,0.00811
2,产业AI落地,3,Token,0.00709
2,产业AI落地,4,全球,0.00708
2,产业AI落地,5,智能,0.00701
2,产业AI落地,6,大模型,0.00699
2,产业AI落地,7,汽车,0.00685
2,产业AI落地,8,场景,0.00683
2,产业AI落地,9,安全,0.00632
2,产业AI落地,10,小米,0.00624
2,产业AI落地,11,业务,0.00615
2,产业AI落地,12,合作,0.00574
3,AI编程助手,1,模型,0.02101
3,AI编程助手,2,大模型,0.01635
3,AI编程助手,3,智能,0.01495
3,AI编程助手,4,编程,0.01271
3,AI编程助手,5,Claude,0.01262
3,AI编程助手,6,工具,0.01151
3,AI编程助手,7,任务,0.01061
3,AI编程助手,8,小龙虾,0.00924
3,AI编程助手,9,全球,0.00802
3,AI编程助手,10,开源,0.00784
3,AI编程助手,11,千问,0.00727
3,AI编程助手,12,视觉,0.00663
4,生成式AI,1,OpenClaw,0.02383
4,生成式AI,2,Claude,0.02145
4,生成式AI,3,Anthropic,0.01685
4,生成式AI,4,工具,0.01525
4,生成式AI,5,Code,0.01513
4,生成式AI,6,Image,0.01369
4,生成式AI,7,模型,0.01319
4,生成式AI,8,生成,0.01172
4,生成式AI,9,文件,0.00913
4,生成式AI,10,第三方,0.00803
4,生成式AI,11,聊天,0.00721
4,生成式AI,12,宇航员,0.00715
5,AI芯片算力,1,芯片,0.01399
5,AI芯片算力,2,Max,0.01014
5,AI芯片算力,3,英伟达,0.00967
5,AI芯片算力,4,品牌,0.00859
5,AI芯片算力,5,AirPods,0.00838
5,AI芯片算力,6,成本,0.00754
5,AI芯片算力,7,Token,0.00746
5,AI芯片算力,8,声音,0.00636
5,AI芯片算力,9,智能,0.00558
5,AI芯片算力,10,算力,0.00558
5,AI芯片算力,11,车型,0.00543
5,AI芯片算力,12,全球,0.00542
6,自动驾驶,1,安全,0.02166
6,自动驾驶,2,自动,0.01861
6,自动驾驶,3,会议,0.01491
6,自动驾驶,4,驾驶,0.01435
6,自动驾驶,5,车辆,0.01156
6,自动驾驶,6,视频,0.0108
6,自动驾驶,7,录制,0.00963
6,自动驾驶,8,腾讯,0.00835
6,自动驾驶,9,触发,0.00774
6,自动驾驶,10,场景,0.00763
6,自动驾驶,11,整理,0.00717
6,自动驾驶,12,客户,0.00708
7,激光雷达,1,激光雷达,0.01424
7,激光雷达,2,团队,0.01381
7,激光雷达,3,skill,0.01249
7,激光雷达,4,研发,0.01012
7,激光雷达,5,方案,0.00935
7,激光雷达,6,智能,0.00845
7,激光雷达,7,机器人,0.00844
7,激光雷达,8,场景,0.0077
7,激光雷达,9,企业,0.00648
7,激光雷达,10,竞争,0.00593
7,激光雷达,11,选择,0.00585
7,激光雷达,12,成本,0.00568
8,游戏与数码,1,游戏,0.02595
8,游戏与数码,2,耳机,0.02397
8,游戏与数码,3,有线,0.01757
8,游戏与数码,4,玩家,0.01288
8,游戏与数码,5,充电,0.01213
8,游戏与数码,6,感受,0.01078
8,游戏与数码,7,视频,0.00967
8,游戏与数码,8,个人,0.00954
8,游戏与数码,9,东西,0.00892
8,游戏与数码,10,创作,0.00879
8,游戏与数码,11,成本,0.0081
8,游戏与数码,12,时代,0.00743
9,苹果生态,1,苹果,0.0425
9,苹果生态,2,Mac,0.02781
9,苹果生态,3,App,0.01704
9,苹果生态,4,免费,0.01376
9,苹果生态,5,代码,0.01349
9,苹果生态,6,Coding,0.01284
9,苹果生态,7,工具,0.01201
9,苹果生态,8,开源,0.01148
9,苹果生态,9,Store,0.00929
9,苹果生态,10,iPhone,0.00807
9,苹果生态,11,跨平台,0.00783
9,苹果生态,12,Pro,0.0074
